Customer ID,Loyalty Tier,Years as Customer,Satisfaction Score,Acquisition Channel
SG-20605,Gold,4,4.6,Direct
SG-20890,Gold,5,4.0,Referral
SH-19975,Gold,8,4.4,Online
SH-20395,Gold,7,3.8,Online
SH-20635,Bronze,4,1.8,Partner
SJ-20125,Platinum,9,4.4,Direct
SJ-20215,Gold,10,3.1,Referral
SJ-20500,Bronze,2,4.1,Online
SK-19990,Bronze,3,4.7,Referral
SL-20155,Silver,1,4.1,Partner
SM-20005,Bronze,5,3.2,Direct
SM-20320,Bronze,3,3.6,Referral
SM-20905,Bronze,2,2.4,Referral
SM-20950,Platinum,7,5.0,Online
SN-20560,Platinum,9,5.0,Referral
SN-20710,Silver,6,4.1,Direct
SO-20335,Silver,3,3.3,Direct
SP-20545,Gold,6,3.5,Referral
SP-20620,Gold,4,4.5,Online
SP-20650,Silver,3,3.3,Online
SP-20860,Platinum,8,4.1,Partner
SP-20920,Gold,7,3.5,Direct
SR-20425,Bronze,1,3.2,Partner
SR-20740,Gold,5,4.2,Online
SS-20140,Platinum,10,4.6,Partner
SS-20410,Silver,6,2.1,Online
SS-20515,Silver,4,3.2,Partner
SS-20590,Bronze,1,2.6,Partner
SS-20875,Silver,4,3.3,Direct
ST-20530,Bronze,3,4.8,Direct
SU-20665,Gold,7,3.5,Partner
SV-20365,Gold,6,3.4,Online
SV-20785,Gold,8,3.5,Online
SV-20815,Bronze,3,4.6,Direct
SV-20935,Silver,7,3.9,Direct
SW-20245,Silver,7,2.7,Referral
SW-20275,Bronze,2,1.9,Direct
SW-20350,Bronze,3,3.1,Online
SW-20455,Silver,3,3.1,Direct
SW-20755,Bronze,2,3.6,Referral
SZ-20035,Gold,4,4.0,Partner
TA-21385,Bronze,5,3.5,Partner
TB-21055,Bronze,2,2.9,Online
TB-21175,Silver,6,3.9,Referral
TB-21190,Bronze,3,3.8,Partner
TB-21250,Silver,5,3.5,Partner
TB-21280,Silver,5,3.8,Direct
TB-21355,Gold,9,4.6,Partner
TB-21400,Gold,11,3.0,Online
TB-21520,Silver,5,3.4,Partner
TB-21595,Bronze,2,4.2,Online
TB-21625,Silver,4,3.9,Online
TC-20980,Gold,6,4.5,Direct
TC-21145,Bronze,4,2.9,Referral
TC-21295,Gold,7,4.1,Online
TC-21475,Silver,2,4.3,Partner
TC-21535,Gold,7,4.1,Partner
TD-20995,Platinum,8,3.9,Online
TG-21310,Silver,6,3.9,Partner
TG-21640,Bronze,5,3.7,Direct
TH-21100,Bronze,4,3.6,Partner
TH-21115,Silver,7,3.7,Direct
TH-21235,Bronze,3,1.9,Online
TH-21550,Silver,1,3.0,Online
TM-21010,Gold,5,4.2,Online
TM-21490,Bronze,3,3.0,Direct
TN-21040,Silver,3,3.1,Partner
TP-21130,Gold,9,3.4,Direct
TP-21415,Silver,4,3.7,Partner
TP-21565,Silver,6,4.3,Partner
TR-21325,Platinum,9,2.8,Direct
TS-21085,Bronze,2,3.8,Referral
TS-21160,Silver,3,4.4,Online
TS-21205,Bronze,3,2.1,Partner
TS-21340,Gold,9,3.4,Partner
TS-21370,Gold,11,3.8,Direct
TS-21430,Bronze,2,2.9,Referral
TS-21505,Silver,2,3.7,Online
TS-21610,Silver,4,4.6,Referral
TS-21655,Gold,4,3.9,Online
TT-21070,Gold,7,4.8,Partner
TT-21220,Gold,5,3.5,Partner
TT-21265,Bronze,1,2.3,Direct
TT-21460,Gold,9,3.6,Direct
TW-21025,Platinum,11,3.7,Referral
TZ-21580,Silver,3,3.5,Referral
VB-21745,Gold,7,2.7,Online
VD-21670,Silver,4,3.5,Direct
VF-21715,Silver,1,2.0,Partner
VG-21790,Bronze,1,4.1,Direct
VG-21805,Silver,3,4.1,Referral
VM-21685,Silver,4,2.9,Direct
VM-21835,Gold,7,4.0,Partner
VP-21730,Bronze,2,3.9,Direct
VP-21760,Silver,5,3.9,Referral
VS-21820,Bronze,1,3.0,Partner
VT-21700,Gold,4,4.1,Online
VW-21775,Bronze,3,3.0,Online
WB-21850,Gold,7,5.0,Partner
XP-21865,Platinum,9,3.9,Partner
YC-21895,Bronze,3,3.7,Partner
YS-21880,Silver,4,3.7,Referral
ZC-21910,Silver,4,3.5,Partner
ZD-21925,Bronze,3,4.4,Referral
